PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=128 time=77.4 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=128 time=69.2 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=128 time=58.3 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=128 time=61.9 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=128 time=58.7 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=128 time=64.2 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=128 time=66.8 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=128 time=59.8 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=128 time=55.8 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=128 time=66.6 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=128 time=69.6 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=128 time=69.6 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=128 time=67.6 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=128 time=59.1 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=128 time=104 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=128 time=57.6 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=128 time=52.5 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=128 time=57.9 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=128 time=60.8 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=128 time=66.3 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=128 time=55.9 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=128 time=55.2 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=128 time=58.5 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=128 time=62.7 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=128 time=68.6 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=128 time=71.2 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=128 time=56.2 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=128 time=62.1 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=128 time=54.0 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=128 time=56.5 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=128 time=63.9 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=128 time=68.3 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=128 time=51.6 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=128 time=65.6 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=128 time=73.9 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=128 time=68.1 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=128 time=51.5 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=128 time=57.6 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=128 time=59.7 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=128 time=54.1 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=128 time=71.5 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=128 time=59.0 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=128 time=62.4 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=128 time=65.3 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=128 time=61.9 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=128 time=91.4 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=128 time=63.1 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=128 time=49.1 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=128 time=73.2 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=128 time=74.3 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=128 time=64.2 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=128 time=60.3 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=128 time=54.0 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=128 time=79.4 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=128 time=65.0 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=128 time=51.7 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=128 time=68.9 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=128 time=52.7 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=128 time=55.8 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=128 time=69.6 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=128 time=64.4 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=128 time=59.4 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=128 time=55.4 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=128 time=56.8 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=128 time=53.6 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=128 time=54.5 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=128 time=49.7 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=128 time=66.4 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=128 time=70.6 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=128 time=59.8 ms
64 bytes from 8.8.8.8: icmp_seq=71 ttl=128 time=57.0 ms
64 bytes from 8.8.8.8: icmp_seq=72 ttl=128 time=48.4 ms
64 bytes from 8.8.8.8: icmp_seq=73 ttl=128 time=60.9 ms
64 bytes from 8.8.8.8: icmp_seq=74 ttl=128 time=88.5 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=128 time=48.6 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=128 time=54.3 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=128 time=64.4 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=128 time=65.1 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=128 time=60.7 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=128 time=63.4 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=128 time=70.9 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=128 time=55.8 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=128 time=59.1 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=128 time=64.7 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=128 time=60.6 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=128 time=72.5 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=128 time=68.9 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=128 time=48.0 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=128 time=59.6 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=128 time=60.9 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=128 time=55.3 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=128 time=53.7 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=128 time=68.3 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=128 time=53.8 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=128 time=58.9 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=128 time=66.4 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=128 time=71.3 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=128 time=56.5 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=128 time=63.3 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=128 time=66.3 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=128 time=62.9 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=128 time=57.8 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=128 time=54.8 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=128 time=58.8 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=128 time=79.6 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=128 time=59.3 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=128 time=72.8 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=128 time=57.7 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=128 time=65.1 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=128 time=57.0 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=128 time=63.2 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=128 time=57.3 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=128 time=61.7 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=128 time=64.8 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=128 time=62.8 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=128 time=65.0 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=128 time=61.3 ms
